flight_no;amount;fare_conditions;seat_no;additional_money
PG0012;12300;Economy;18A;false
PG0012;12300;Economy;18B;false
PG0012;12300;Economy;18C;false
PG0012;12300;Economy;18D;false
PG0012;12300;Economy;19A;false
PG0012;12300;Economy;19B;false
PG0012;12300;Economy;19C;false
PG0012;13500;Economy;1A;true
PG0012;13500;Economy;1B;true
PG0012;13500;Economy;1C;true
PG0012;13500;Economy;1D;true
PG0012;12300;Economy;20A;false
PG0012;12300;Economy;20B;false
PG0012;12300;Economy;20C;false
PG0012;12300;Economy;20D;false
PG0012;12300;Economy;21A;false
PG0012;12300;Economy;21B;false
PG0012;12300;Economy;21C;false
PG0012;12300;Economy;21D;false
PG0012;12300;Economy;22A;false
PG0012;12300;Economy;22B;false
PG0012;12300;Economy;22C;false
PG0012;12300;Economy;22D;false
PG0012;12300;Economy;23A;false
PG0012;12300;Economy;23B;false
PG0012;12300;Economy;2A;false
PG0012;12300;Economy;2B;false
PG0012;12300;Economy;2C;false
PG0012;12300;Economy;2D;false
PG0012;12300;Economy;3A;false
PG0012;12300;Economy;3B;false
PG0012;12300;Economy;3C;false
PG0012;12300;Economy;3D;false
PG0012;12300;Economy;4A;false
PG0012;12300;Economy;4B;false
PG0012;12300;Economy;4D;false
PG0012;12300;Economy;5A;false
PG0012;12300;Economy;5B;false
PG0012;12300;Economy;5C;false
PG0012;12300;Economy;5D;false
PG0012;12300;Economy;6A;false
PG0012;12300;Economy;6B;false
PG0012;12300;Economy;6C;false
PG0012;12300;Economy;6D;false
PG0012;12300;Economy;7A;false
PG0012;12300;Economy;7B;false
PG0012;12300;Economy;7C;false
PG0012;12300;Economy;7D;false
PG0013;42100;Business;1A;false
PG0013;42100;Business;1C;false
PG0013;42100;Business;1D;false
PG0013;42100;Business;1G;false
PG0013;42100;Business;1H;false
PG0013;42100;Business;1K;false
PG0013;42100;Business;2A;false
PG0013;42100;Business;2C;false
PG0013;42100;Business;2D;false
PG0013;42100;Business;2G;false
PG0013;42100;Business;2H;false
PG0013;42100;Business;2K;false
PG0013;42100;Business;3A;false
PG0013;42100;Business;3C;false
PG0013;42100;Business;3D;false
PG0013;42100;Business;3G;false
PG0013;42100;Business;3H;false
PG0013;42100;Business;3K;false
PG0013;42100;Business;4A;false
PG0013;42100;Business;4C;false
PG0013;42100;Business;4D;false
PG0013;42100;Business;4G;false
